,Accuracy,F1,Precision,Recall,AUC
Gradient Boosting,0.734,0.7274590163934426,0.7457983193277311,0.71,0.800938
Random Forest,0.73,0.725609756097561,0.737603305785124,0.714,0.79422
Logistic Regression,0.733,0.7227414330218068,0.7516198704103672,0.696,0.805432
SVM,0.735,0.7219307450157397,0.7593818984547461,0.688,0.8054920000000001
KNN,0.722,0.7214428857715431,0.7228915662650602,0.72,0.7839400000000001
Decision Tree,0.698,0.6905737704918032,0.707983193277311,0.674,0.7581
